iter	RMSE
0	3570593.757
1	3239873.054
2	2953379.134
3	2714713.735
4	2491522.232
5	2311539.445
6	2157489.88
7	2020977.839
8	1902955.111
9	1801980.514
10	1716315.245
11	1640461.595
12	1578783.826
13	1522449.458
14	1473811.997
15	1434918.019
16	1401557.744
17	1371597.648
18	1350615.928
19	1328648.743
20	1310555.082
21	1294068.039
22	1278012.862
23	1264124.043
24	1252255.238
25	1241408.592
26	1230496.665
27	1221143.405
28	1212007.789
29	1203510.733
30	1196365.414
31	1186572.363
32	1178089.114
33	1174329.266
34	1168800.88
35	1162910.015
36	1155836.619
37	1150339.379
38	1143970.986
39	1139845.19
40	1137382.317
41	1132976.998
42	1129812.807
43	1123676.89
44	1119485.789
45	1115519.615
46	1111145.001
47	1106601.641
48	1103380.441
49	1100212.564
50	1098212.676
51	1095225.904
52	1091505.166
53	1087191.444
54	1087007.193
55	1084549.306
56	1082489.854
57	1079103.155
58	1077050.753
59	1075917.696
60	1073663.696
61	1071891.721
62	1069981.246
63	1068050.256
64	1065651.646
65	1064451.889
66	1062699.049
67	1059850.004
68	1057762.686
69	1055578.244
70	1052216.054
71	1050211.726
72	1048477.953
73	1044984.555
74	1041816.926
75	1039339.151
76	1036904.155
77	1036096.372
78	1034282.674
79	1029747.358
80	1026389.662
81	1024978.655
82	1023374.305
83	1022003.145
84	1018660.773
85	1016733.272
86	1013606.804
87	1010585.851
88	1007954.783
89	1006241.672
90	1003972.738
91	1002806.894
92	1000162.621
93	999060.7582
94	998151.5426
95	995448.1924
96	994567.1587
97	993219.0849
98	990880.8306
99	989704.4271
100	987025.2077
101	985952.4316
102	985009.9738
103	983235.1091
104	982101.952
105	979726.3241
106	977768.8778
107	977244.5954
108	975136.1535
109	973459.4259
110	972524.5321
111	970684.4127
112	969581.5456
113	967350.2617
114	966940.7452
115	965935.9046
116	965117.0329
117	964059.7101
118	963910.1603
119	962276.6205
120	961756.6775
121	960075.1122
122	958553.505
123	956952.5063
124	955818.0565
125	954624.3142
126	951942.794
127	951377.4187
128	950652.4498
129	948820.8708
130	947237.453
131	945961.0647
132	945488.8809
133	944992.458
134	944002.3628
135	943167.8213
136	942889.8187
137	941891.7499
138	941495.5595
139	940056.4406
140	938729.3361
141	938014.718
142	936711.9601
143	935335.6328
144	933876.8069
145	933317.3335
146	932051.0431
147	930999.02
148	930478.0854
149	928817.0623
150	926547.5433
151	925004.5706
152	924879.3517
153	923562.5888
154	922276.3829
155	921634.683
156	920270.3934
157	918982.5072
158	916889.4629
159	916336.5072
160	915415.451
161	914277.8668
162	912826.7051
163	911175.7738
164	910035.3919
165	909201.6006
166	908194.164
167	907073.4678
168	905847.3103
169	904068.3858
170	903237.9999
171	901872.839
172	901107.0909
173	900337.6909
174	898866.0697
175	898104.5255
176	897065.9193
177	896582.4895
178	895295.1292
179	895224.3731
