iter	Passed	Remaining
0	54	67544
1	59	37273
2	64	26801
3	69	21504
4	73	18203
5	76	15952
6	81	14417
7	85	13200
8	88	12250
9	92	11478
10	96	10880
11	100	10378
12	104	9977
13	109	9636
14	113	9328
15	117	9056
16	121	8783
17	125	8584
18	129	8415
19	134	8258
20	138	8090
21	142	7936
22	146	7804
23	150	7690
24	154	7547
25	158	7444
26	162	7357
27	166	7261
28	170	7171
29	174	7086
30	178	7000
31	182	6935
32	186	6865
33	190	6799
34	194	6744
35	198	6679
36	202	6622
37	206	6570
38	209	6519
39	213	6469
40	217	6413
41	221	6371
42	225	6322
43	229	6291
44	233	6253
45	237	6216
46	241	6174
47	245	6140
48	248	6094
49	252	6055
50	255	6015
51	260	5990
52	263	5960
53	267	5926
54	269	5848
55	272	5820
56	277	5797
57	281	5780
58	284	5747
59	288	5727
60	293	5712
61	296	5688
62	301	5671
63	305	5652
64	308	5628
65	312	5613
66	316	5592
67	321	5579
68	325	5564
69	329	5548
70	333	5537
71	337	5522
72	341	5502
73	345	5486
74	349	5470
75	352	5446
76	356	5427
77	359	5403
78	363	5385
79	367	5369
80	371	5357
81	374	5337
82	378	5320
83	382	5309
84	386	5294
85	390	5278
86	393	5261
87	397	5248
88	401	5238
89	405	5225
90	409	5212
91	413	5198
92	416	5185
93	420	5169
94	424	5159
95	428	5145
96	431	5131
97	435	5120
98	439	5108
99	443	5100
100	447	5087
101	451	5080
102	455	5070
103	458	5057
104	462	5042
105	465	5028
106	470	5023
107	475	5025
108	480	5029
109	484	5024
110	489	5018
111	494	5020
112	498	5011
113	502	5007
114	505	4992
115	509	4981
116	513	4968
117	516	4958
118	520	4945
119	524	4940
120	528	4931
121	532	4927
122	537	4922
123	541	4918
124	545	4910
125	549	4904
126	554	4901
127	557	4889
128	561	4879
129	565	4872
130	569	4865
131	573	4859
132	577	4852
133	581	4838
134	584	4830
135	588	4819
136	592	4811
137	596	4804
138	600	4795
139	604	4791
140	608	4787
141	612	4783
142	616	4773
143	620	4765
144	624	4759
145	628	4749
146	632	4744
147	636	4736
148	639	4726
149	643	4720
150	647	4710
151	650	4700
152	654	4692
153	658	4685
154	662	4678
155	665	4664
156	669	4658
157	673	4653
158	677	4647
159	681	4641
160	685	4634
161	689	4628
162	693	4621
163	696	4613
164	700	4604
165	703	4595
166	707	4587
167	711	4581
168	715	4576
169	719	4573
170	723	4568
171	727	4561
172	731	4552
173	735	4545
174	738	4538
175	743	4534
176	747	4528
177	750	4521
178	754	4515
179	758	4506
180	761	4499
181	765	4492
182	768	4483
183	772	4475
184	776	4468
185	779	4461
186	783	4456
187	787	4449
188	791	4444
189	795	4436
190	799	4434
191	803	4426
192	806	4416
193	810	4411
194	814	4404
195	817	4397
196	822	4394
197	825	4384
198	829	4378
199	832	4372
200	836	4364
201	839	4356
202	843	4350
203	847	4343
204	851	4339
205	855	4334
206	859	4330
207	863	4323
208	866	4317
209	870	4313
210	874	4306
211	877	4298
212	881	4292
213	885	4286
214	888	4279
215	892	4274
216	897	4270
217	901	4266
218	904	4260
219	908	4253
220	912	4247
221	916	4243
222	920	4239
223	924	4235
224	928	4229
225	932	4227
226	937	4227
227	944	4234
228	949	4232
229	953	4229
230	957	4224
231	962	4222
232	967	4223
233	972	4221
234	976	4215
235	979	4209
236	983	4205
237	987	4200
238	991	4194
239	995	4190
240	999	4184
241	1003	4181
242	1008	4180
243	1012	4173
244	1016	4170
245	1021	4168
246	1025	4163
247	1029	4157
248	1033	4153
249	1036	4146
250	1041	4143
251	1045	4139
252	1049	4134
253	1053	4129
254	1057	4125
255	1060	4119
256	1064	4114
257	1068	4109
258	1072	4105
259	1077	4101
260	1080	4095
261	1084	4090
262	1088	4085
263	1092	4080
264	1096	4075
265	1100	4069
